,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
22,20706,plan or direct activities such as sales promotions that require coordination with other department managers,General and Operations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
23,20705,perform personnel functions such as selection training or evaluation,General and Operations Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
24,20704,establish or implement departmental policies goals objectives or procedures in conjunction with board members organization officials or staff members,General and Operations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
26,20708,manage the movement of goods into and out of production facilities to ensure efficiency effectiveness or sustainability of operations,General and Operations Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
27,20707,set prices or credit terms for goods or services based on forecasts of customer demand,General and Operations Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
29,945,develop or implement productmarketing strategies including advertising campaigns or sales promotions,General and Operations Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
30,947,direct nonmerchandising departments of businesses such as advertising or purchasing,General and Operations Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
31,19501,implement or oversee environmental management or sustainability programs addressing issues such as recycling conservation or waste management,General and Operations Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
32,949,plan store layouts or design displays,General and Operations Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
33,948,recommend locations for new facilities or oversee the remodeling or renovating of current facilities,General and Operations Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
34,15267,analyze and understand the local and national implications of proposed legislation,Legislators,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
35,15268,appoint nominees to leadership posts or approve such appointments,Legislators,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
36,15269,confer with colleagues to formulate positions and strategies pertaining to pending issues,Legislators,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
37,15270,debate the merits of proposals and bill amendments during floor sessions following the appropriate rules of procedure,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
38,15271,develop expertise in subject matters related to committee assignments,Legislators,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
39,15272,hear testimony from constituents representatives of interest groups board and commission members and others with an interest in bills or issues under consideration,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
40,15273,keep abreast of the issues affecting constituents by making personal visits and phone calls reading local newspapers and viewing or listening to local broadcasts,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
42,15275,make decisions that balance the perspectives of private citizens public officials and party leaders,Legislators,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
43,15276,negotiate with colleagues or members of other political parties in order to reconcile differing interests and to create policies and agreements,Legislators,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
44,15277,prepare drafts of amendments government policies laws rules regulations budgets programs and procedures,Legislators,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
45,15278,read and review concerns of constituents or the general public and determine if governmental action is necessary,Legislators,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
46,15279,represent their parties in negotiations with political executives or members of other parties and when speaking with the media,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
47,15280,review bills in committee and make recommendations about their future,Legislators,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
48,15281,seek federal funding for local projects and programs,Legislators,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
49,15282,serve on commissions investigative panels study groups and committees in order to examine specialized areas and recommend action,Legislators,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
52,15285,alert constituents of government actions and programs by way of newsletters personal appearances at town meetings phone calls and individual meetings,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
53,15286,attend receptions dinners and conferences to meet people exchange views and information and develop working relationships,Legislators,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
55,15288,determine campaign strategies for media advertising positions on issues and public appearances,Legislators,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
56,15289,encourage and support party candidates for political office,Legislators,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
57,15290,establish personal offices in local districts or states and manage office staff,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
58,15291,evaluate the structure efficiency activities and performance of government agencies,Legislators,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
59,15292,organize and maintain campaign organizations and fundraisers in order to raise money for election or reelection,Legislators,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
61,15294,promote the industries and products of their electoral districts,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
62,15295,represent their government at local national and international meetings and conferences,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
63,15296,speak to students to encourage and support the development of future political leaders,Legislators,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
64,3224,plan and prepare advertising and promotional material to increase sales of products or services working with customers company officials sales departments and advertising agencies,Advertising and Promotions Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
65,3226,inspect layouts and advertising copy and edit scripts audio video and other promotional material for adherence to specifications,Advertising and Promotions Managers,Management Occupations,3,3,4,4,3,-0.5952658735134765,3.4
66,3231,confer with department heads or staff to discuss topics such as contracts selection of advertising media or product to be advertised,Advertising and Promotions Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
68,3227,coordinate activities of departments such as sales graphic arts media finance and research,Advertising and Promotions Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
69,3238,plan and execute advertising policies and strategies for organizations,Advertising and Promotions Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
70,3237,direct motivate and monitor the mobilization of a campaign team to advance campaign goals,Advertising and Promotions Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
74,3229,identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets such as dealers distributors or consumers,Advertising and Promotions Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
77,18586,manage sales team including setting goals providing incentives and evaluating employee performance,Advertising and Promotions Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
78,3228,prepare and negotiate advertising and sales contracts,Advertising and Promotions Managers,Management Occupations,4,3,4,3,3,-0.8745325892310554,3.4
79,3235,formulate plans to extend business with established accounts and to transact business as agent for advertising accounts,Advertising and Promotions Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
80,3241,train and direct workers engaged in developing and producing advertisements,Advertising and Promotions Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
81,3240,assemble and communicate with a strong diverse coalition of organizations or public figures securing their cooperation support and action to further campaign goals,Advertising and Promotions Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
82,3236,provide presentation and product demonstration support during the introduction of new products and services to field staff and customers,Advertising and Promotions Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
83,3245,represent company at trade association meetings to promote products,Advertising and Promotions Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
84,3244,direct and coordinate product research and development,Advertising and Promotions Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
85,21217,analyze marketing or sales trends to forecast future conditions,Advertising and Promotions Managers,Management Occupations,3,2,4,4,4,-0.4416648120084642,3.4
86,21218,analyze the effectiveness of marketing tactics or channels,Advertising and Promotions Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
87,21219,attend or participate in conferences community events and promotional events related to products or technologies,Advertising and Promotions Managers,Management Occupations,4,4,3,3,3,-0.9519914093725937,3.4
88,21220,conduct research on consumer opinions and buying habits and identify target audiences for products services or technologies,Advertising and Promotions Managers,Management Occupations,4,3,3,4,4,-0.8326546575245659,3.6
89,21221,coordinate with marketing team members graphic artists and other workers to develop and implement marketing programs,Advertising and Promotions Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
90,21222,develop communications materials advertisements presentations or public relations initiatives to promote awareness of products and services,Advertising and Promotions Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
91,21223,develop comprehensive marketing strategies using knowledge of products and technologies markets and regulations,Advertising and Promotions Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
94,951,identify develop or evaluate marketing strategy based on knowledge of establishment objectives market characteristics and cost and markup factors,Marketing Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
95,20709,formulate direct or coordinate marketing activities or policies to promote products or services working with advertising or promotion managers,Marketing Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
97,950,develop pricing strategies balancing firm objectives and customer satisfaction,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
99,954,direct the hiring training or performance evaluations of marketing or sales staff and oversee their daily activities,Marketing Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
100,956,consult with product development personnel on product specifications such as design color or packaging,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
101,958,use sales forecasting or strategic planning to ensure the sale and profitability of products lines or services analyzing business developments and monitoring market trends,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
102,955,negotiate contracts with vendors or distributors to manage product distribution establishing distribution networks or developing distribution strategies,Marketing Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
103,961,coordinate or participate in promotional activities or trade shows working with developers advertisers or production managers to market products or services,Marketing Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
104,963,initiate market research studies or analyze their findings,Marketing Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
107,19502,consult with buying personnel to gain advice regarding environmentally sound or sustainable products,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
108,965,conduct economic or commercial surveys to identify potential markets for products or services,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
109,19505,recommend modifications to products packaging production processes or other characteristics to improve the environmental soundness or sustainability of products,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
110,962,advise business or other groups on local national or international factors affecting the buying or selling of products or services,Marketing Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
112,19503,develop business cases for environmental marketing strategies,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
113,19504,integrate environmental information into product or company marketing strategies policies or activities,Marketing Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
114,3,direct and coordinate activities involving sales of manufactured products services commodities real estate or other subjects of sale,Sales Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
115,1,resolve customer complaints regarding sales and service,Sales Managers,Management Occupations,4,3,4,3,3,-0.8745325892310554,3.4
117,14,oversee regional and local sales managers and their staffs,Sales Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
118,4,determine price schedules and discount rates,Sales Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
119,9,prepare budgets and approve budget expenditures,Sales Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
121,11,plan and direct staffing training and performance evaluations to develop and control sales and service programs,Sales Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
124,8,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business,Sales Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
125,7,confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications,Sales Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
126,10,represent company at trade association meetings to promote products,Sales Managers,Management Occupations,4,4,3,3,3,-0.9519914093725937,3.4
127,13,confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase,Sales Managers,Management Occupations,4,4,3,3,3,-0.9519914093725937,3.4
128,17,assess marketing potential of new and existing store locations considering statistics and expenditures,Sales Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
129,12,visit franchised dealers to stimulate interest in establishment or expansion of leasing programs,Sales Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
130,16,direct foreign sales and service outlets of an organization,Sales Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
131,21226,assign supervise and review the activities of public relations staff,Public Relations Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
132,21227,confer with labor relations managers to develop internal communications that keep employees informed of company activities,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
134,21229,develop and maintain the companys corporate image and identity which includes the use of logos and signage,Public Relations Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
135,21230,develop implement or maintain crisis communication plans,Public Relations Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
136,21231,direct activities of external agencies establishments or departments that develop and implement communication strategies and information programs,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
137,21232,draft speeches for company executives and arrange interviews and other forms of contact for them,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
138,21233,establish and maintain effective working relationships with clients government officials and media representatives and use these relationships to develop new business opportunities,Public Relations Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
139,21234,evaluate advertising and promotion programs for compatibility with public relations efforts,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
140,21235,facilitate consumer relations or the relationship between parts of the company such as the managers and employees or different branch offices,Public Relations Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
141,21236,formulate policies and procedures related to public information programs working with public relations executives,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
142,21237,identify main client groups and audiences determine the best way to communicate publicity information to them and develop and implement a communication plan,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
145,21240,manage inhouse communication courses,Public Relations Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
146,21241,manage special events such as sponsorship of races parties introducing new products or other activities the firm supports to gain public attention through the media without advertising directly,Public Relations Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
148,21243,produce films and other video products regulate their distribution and operate film library,Public Relations Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
149,21244,respond to requests for information about employers activities or status,Public Relations Managers,Management Occupations,4,3,4,3,3,-0.8745325892310554,3.4
151,21246,assign supervise and review the activities of fundraising staff,Fundraising Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
154,21249,contact corporate representatives government officials or community leaders to increase awareness of organizational causes activities or needs,Fundraising Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
156,21251,develop fundraising activity plans that maximize participation or contributions and minimize costs,Fundraising Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
157,21252,develop strategies to encourage new or increased contributions,Fundraising Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
158,21253,direct activities of external agencies establishments or departments that develop and implement fundraising strategies and programs,Fundraising Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
159,21254,establish and maintain effective working relationships with clients government officials and media representatives and use these relationships to develop new fundraising opportunities,Fundraising Managers,Management Occupations,4,4,3,4,4,-1.0538500700792128,3.8
160,21255,establish goals for soliciting funds develop policies for collection and safeguarding of contributions and coordinate disbursement of funds,Fundraising Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
162,21257,formulate policies and procedures related to fundraising programs,Fundraising Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
163,21258,manage fundraising budgets,Fundraising Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
164,21259,plan and direct special events for fundraising such as silent auctions dances golf events or walks,Fundraising Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
165,21260,produce films and other video products regulate their distribution and operate film library,Fundraising Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
168,20,set goals and deadlines for the department,Administrative Services Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
170,22,analyze internal processes and recommend and implement procedural or policy changes to improve operations such as supply changes or the disposal of records,Administrative Services Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
171,30,conduct classes to teach procedures to staff,Administrative Services Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
172,24,plan administer and control budgets for contracts equipment and supplies,Administrative Services Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
173,26,hire and terminate clerical and administrative personnel,Administrative Services Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
174,19,direct or coordinate the supportive services department of a business agency or organization,Administrative Services Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
175,21262,communicate with and provide guidance for external vendors and service providers to ensure the organization department or work units business needs are met,Administrative Services Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
176,21263,develop operational standards and procedures for the work unit or department,Administrative Services Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
180,21267,meet with other departmental leaders to establish organizational goals strategic plans and objectives as well as make decisions about personnel resources and space or equipment needs,Administrative Services Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
183,21270,represent work unit at meetings or conferences and serve as liaison for requests or complaints,Administrative Services Managers,Management Occupations,4,4,4,2,3,-1.0614636921287175,3.4
184,21271,supervise administrative staff and provide training and orientation to new staff,Administrative Services Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
186,21278,oversee the maintenance and repair of machinery equipment and electrical and mechanical systems,Facilities Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
187,21277,oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental health and security standards and comply with government regulations,Facilities Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
189,21279,participate in architectural and engineering planning and design including space and installation management,Facilities Managers,Management Occupations,3,3,3,4,4,-0.5191236321500025,3.4
190,21282,set goals and deadlines for the department,Facilities Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
191,21273,conduct classes to teach procedures to staff,Facilities Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
196,21283,analyze and evaluate security operations to identify risks or opportunities for improvement through auditing review or assessment,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
197,21284,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
201,21288,conduct threat or vulnerability analyses to determine probable frequency criticality consequence or severity of natural or manmade disasters or criminal activity on the organizations profitability or delivery of products or services,Security Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
202,21289,coordinate security operations or activities with public law enforcement fire and other agencies,Security Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
203,21290,create or implement security standards policies and procedures,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
205,21292,develop or manage investigation programs including collection and preservation of video and notes of surveillance processes or investigative interviews,Security Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
206,21293,develop arrange for perform or assess executive protection activities to reduce security risks,Security Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
207,21294,develop conduct support or assist in governmental reviews internal corporate evaluations or assessments of the overall effectiveness of facility and personnel security processes,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
208,21295,develop implement manage or evaluate policies and methods to protect personnel against harassment threats or violence,Security Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
209,21296,develop recommend or manage security procedures for operations or processes such as security call centers access control and reporting tools,Security Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
210,21297,direct or participate in emergency management and contingency planning,Security Managers,Management Occupations,4,4,4,4,4,-1.197586662492321,4.0
211,21298,identify investigate or resolve security breaches,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
212,21299,monitor and ensure a sound ethical environment,Security Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
213,21300,monitor security policies programs or procedures to ensure compliance with internal security policies or applicable government security requirements policies and directives,Security Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
214,21301,plan security for special and highrisk events,Security Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
215,21302,plan direct or coordinate security activities to safeguard company employees guests or others on company property,Security Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
218,21305,respond to medical emergencies bomb threats fire alarms or intrusion alarms following emergency response procedures,Security Managers,Management Occupations,4,4,4,3,3,-1.095728001785702,3.6
220,21307,supervise or provide leadership to subordinate security professionals performing activities such as hiring investigating applicants backgrounds training assigning work evaluating performance or disciplining,Security Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
221,21308,support efforts to reduce substance abuse or other illegal activities in the workplace,Security Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
222,21309,train subordinate security professionals or other organization members in security rules and procedures,Security Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
224,968,direct daily operations of department analyzing workflow establishing priorities developing standards and setting deadlines,Computer and Information Systems Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
225,975,meet with department heads managers supervisors vendors and others to solicit cooperation and resolve problems,Computer and Information Systems Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
226,978,review project plans to plan and coordinate project activity,Computer and Information Systems Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
227,969,assign and review the work of systems analysts programmers and other computerrelated workers,Computer and Information Systems Managers,Management Occupations,4,3,4,4,4,-0.9763912499376743,3.8
229,971,develop computer information resources providing for data security and control strategic computing and disaster recovery,Computer and Information Systems Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
230,977,recruit hire train and supervise staff or participate in staffing decisions,Computer and Information Systems Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
232,967,consult with users management vendors and technicians to assess computing needs and system requirements,Computer and Information Systems Managers,Management Occupations,4,3,4,3,3,-0.8745325892310554,3.4
233,976,develop and interpret organizational goals policies and procedures,Computer and Information Systems Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
234,973,evaluate the organizations technology use and needs and recommend improvements such as hardware and software upgrades,Computer and Information Systems Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
237,979,evaluate data processing proposals to assess project feasibility and requirements,Computer and Information Systems Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
238,974,control operational budget and expenditures,Computer and Information Systems Managers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
241,21311,establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter,Financial Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
243,21312,plan direct or coordinate the activities of workers in branches offices or departments of establishments such as branch banks brokerage firms risk and insurance departments or credit departments,Financial Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
244,21313,recruit staff members,Financial Managers,Management Occupations,4,4,4,3,4,-1.1633223528353365,3.8
246,21316,oversee training programs,Financial Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
248,21322,communicate with stockholders or other investors to provide information or to raise capital,Financial Managers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
254,21325,network within communities to find and attract new business,Financial Managers,Management Occupations,4,4,3,3,4,-1.0195857604222283,3.6
258,8870,evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations,Treasurers and Controllers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
259,8858,delegate authority for the receipt disbursement banking protection and custody of funds securities and financial instruments,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
264,8865,coordinate and direct the financial planning budgeting procurement or investment activities of all or part of an organization,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
267,8863,monitor and evaluate the performance of accounting and other financial staff recommending and implementing personnel actions such as promotions and dismissals,Treasurers and Controllers,Management Occupations,4,3,4,3,4,-0.9421269402806898,3.6
270,8868,advise management on shortterm and longterm financial objectives policies and actions,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
272,8869,provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
273,8871,lead staff training and development in budgeting and financial management areas,Treasurers and Controllers,Management Occupations,4,3,3,3,4,-0.7983903478675813,3.4
275,8857,supervise employees performing financial reporting accounting billing collections payroll and budgeting duties,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
276,8874,perform tax planning work,Treasurers and Controllers,Management Occupations,3,3,4,3,4,-0.6285959149061263,3.4
280,15678,manage investment funds to maximize return on client investments,Investment Fund Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
281,15679,select specific investments or investment mixes for purchase by an investment fund,Investment Fund Managers,Management Occupations,3,3,4,4,4,-0.6628602245631109,3.6
